id,message,created_time,likes_count,comments_count,shares_count
124319427612935_939720294823676,"Visiting Jerusalem? Come experience the magic of art at our studio! ✨ 

Whether you’re an art enthusiast or just curious, we welcome you to immerse yourself in the world of color and paintings. 

Drop us a DM to arrange your visit! 🎨",2024-03-19T18:16:21+0000,60,7,13
124319427612935_936091225186583,"Last chance! 🚨 Don’t miss out on owning the piece ‘Where’s Pablo’ by Jean Pierre Weill. We’re down to our last 3 pieces and once they’re gone, they’re gone for good!

But fret not, we’re excited to introduce ‘Cafe Picasso’, the stunning successor to ‘Where’s Pablo’.

To celebrate the end of this edition, we’re offering an exclusive 50% off on ‘Where’s Pablo’ for our beloved SM followers! 🌟 This is your opportunity to bring home a masterpiece at an incredible price.

Hurry, grab your piece of art history before it’s too late! DM us to claim yours today. 🖼️✨",2024-03-14T16:44:56+0000,13,0,4
124319427612935_931414785654227,"Step into the sacred space of community with ‘10th Man’ 🎨✨ Feel the power of unity as you become the missing piece in this captivating 3D painting by Jean Pierre Weill. Let your presence bring forth the divine, and immerse yourself in the beauty of collective prayer.",2024-03-07T21:57:58+0000,44,2,5
124319427612935_925734112888961,"I have always loved music. In my studio, Miles Davis or John Coltrane are often playing in the background. The element of jazz that delights me most is the spontaneity, the way the musicians communicate with each other through their instruments, making space for one another, building an invisible and intricate web of connection.

I believe that when we choose a piece of artwork, it is because something beacons our eyes and hearts and, without thinking too much about it, we fall in love.

The beauty of improvisation, to me, is perfectly embodied by a street musician playing the music that comes to him and the passerby who is moved to spontaneous dance. This interaction captures the magic of responding to the present moment and the opportunities it offers with our hearts.

When my children were small and visiting my studio, we would sometimes crank up the volume, clear the tables to the side of the room, and dance. I continue this tradition with my grandchildren and it never fails to delight us all. My hope is that this painting brings that fun free energy into your home, and invites you to dance 🙂

- Jean Pierre Weill",2024-02-28T16:48:16+0000,25,0,5
124319427612935_921040143358358,"🎨✨ Exclusive Instagram offer alert! ✨🎨 

We’re eager to offer you a rare opportunity to own a piece from our collection that’s no longer in production. 😮 

‘Tambourine Man’ - a captivating masterpiece by Jean Pierre Weill is a stunning painting . It measures 122 x 94 cm and is truly one-of-a-kind.  Normally priced at $22,000, we’re offering it exclusively on Instagram for just $8,000! 😱 

Don’t miss out on this incredible deal - it’s our last piece available! DM us now to claim this piece for your collection. 📩",2024-02-21T19:17:25+0000,50,3,3
124319427612935_916117487183957,Look closely at our art and you’ll see love everywhere 💕  Happy Valentine’s day from our heart to yours!,2024-02-14T17:53:14+0000,34,2,0
124319427612935_905729008222805,"Did you catch yesterday’s Q&A session on our stories? 🤔💬 Check out our Q&A highlight to see them all.

If you have more questions, run to our stories and ask them before the option is gone!",2024-01-31T17:14:00+0000,14,4,0
124319427612935_900225552106484,"This Valentine’s Day, gift your loved one the timeless beauty of art. Discover unique pieces at jeanpierreweill.com with worldwide shipping! 💕🎨✨",2024-01-24T18:11:42+0000,13,0,1
124319427612935_894826482646391,"Dive into the enchanting details of Cafe d’artistes, where magic resides in every sip of coffee, every shared dance step, and every whispered idea.

Inspired by Van Gogh’s starlit nights and the love-filled dance of Renoir’s Bougival. ✨☕💃",2024-01-17T18:21:54+0000,34,3,3
124319427612935_889904966471876,"🎉 Giveaway! 🎨

To show our gratitude for your love and support, we’re thrilled to host a Classique Collection giveaway starting January 10th and concluding January 21st.

How to Enter:
1. Follow @JeanPierreWeillpaintings
2. Like this post.
3. Tag a friend in the comments!

BONUS ENTRY: 
Share this post in your stories and tag us!

🌍 We Ship Worldwide,* so this include you! This giveaway is an expression of our gratitude to this incredible community. We appreciate every one of you! 

⏰ Giveaway Deadline: January 21st, 7 PM EST. The winner will be announced on January 23rd. Join our family studio!

🍀 Good luck to everyone! 🍀

*Note: This giveaway is not associated with Instagram.
**Exclusions apply to countries not serviced by UPS.",2024-01-10T19:05:19+0000,20,32,2
124319427612935_885742943554745,Meet our littlest Picasso-in-training! 👧🖌️ Our adorable helper is busy bringing her own creativity to brighten up our family studio. ☀️,2024-01-04T18:40:28+0000,20,3,1
124319427612935_855913363204370,"Gratitude is powerful in every circumstance… and we have much to be grateful for. ❤️

When life feels fragile and precious, whether due to a personal struggle or a national tragedy, gratitude is an anchor. 🫂

As we head into winter, Thanksgiving is an opportunity to connect to what is important and appreciate the relationships that make life rich. 🙏💕

From our family to yours, Happy Thanksgiving! 🫶",2023-11-22T19:26:28+0000,19,4,0
124319427612935_854633586665681,"We’d like to share with you a project that we’ve been part of over these past few weeks. It’s a website #LetMyChildrenGo and it’s dedicated to the child hostages who were kidnapped and are being held by Hamas.

The site is based on the understanding that art is an expression of life. It is about creativity and openness to possibilities. It is about children who belong at home, with their parents, surrounded by people who love and nurture them. We invite you to create art and share it on the site - to give these children their childhood back.",2023-11-20T23:09:45+0000,6,0,1
124319427612935_842825604513146,"Thank you for your messages of support. Thank you for checking in with us to see if we’re safe. Thank you for checking in with us to see if we’re okay. ❤️

We’re truly touched by the outpouring of positivity and unity in response to the ongoing war. Your comments mean the world to us! Thank you, thank you, thank you. 🫂❤️",2023-11-02T19:20:52+0000,5,0,2
124319427612935_837297925065914,"Black November is coming right up. It’s one of our biggest sale events of the year! 🎨

We pour our hearts into every creation, and we need your support to keep sharing our passion with the world. 🌎🛒

🖼️ Mini Masterpieces - 10% Off 
🖼️ Petite Beauties - 20% Off 
🖼️ Classique Collections - 20% Off 

🗓️ Starting Nov 1st until Nov 30th

Visit our website at jeanpierreweill.com and start shopping for your loved ones ❤️",2023-10-25T15:26:09+0000,7,0,2
124319427612935_826146996181007,Thank you for all of your prayers. 💙 🇮🇱 All orders are on pause.,2023-10-10T14:45:15+0000,87,18,1
124319427612935_821806163281757,"🔥 What's in it for you?

✨ Sneak Peek: Be the first to lay eyes on mesmerizing new artworks, igniting your passion for beauty.

💰 Exclusive Offers: Unlock secret doors to jaw-dropping deals and sales available only to our cherished subscribers.

📖 Art Stories: Dive deep into the captivating narratives behind each masterpiece, connecting with the heart and soul of artistry.

📆 Minimal Intrusion: With just 2 emails per month, we respect your time while ensuring you're always in the art loop!

Don't wait! Subscribe now and let art enrich your life. 🎨✨",2023-10-04T14:11:55+0000,4,0,0
124319427612935_817907597004947,"Hey there, welcome to our family art studio! We've been on this colorful adventure since '92, when I was searching for a way to make art and support my growing family. That's when I stumbled upon the magic of 3D paintings, and the rest is history!

About 10 years ago, we packed our brushes and moved to Israel, where my amazing daughters, Davida and Safira, hopped on board. They brought their own flair and creativity to the mix, making our studio even more vibrant.

We're not just a studio; we're a creative family, and now you're part of it too! Your love and feedback make our paints flow even smoother. So, here's to staying playful, keeping it real, and always giving our best. Thanks for joining our artistic journey! 🌟🖌️",2023-09-28T19:00:53+0000,73,26,4
124319427612935_811855190943521,"Can you spot the personalization? 🔎👀

You did it!

Tiny details, big love. ✍️ Add your personal touch with up to 10 characters on your Petite Collection piece - because it's the little things that matter most!

*Personalize with up to 10 characters for free with any Petite Collection purchase.
**Just $10 for Mini Collection pieces.",2023-09-20T18:42:31+0000,18,3,3
124319427612935_807557594706614,"Embracing the serenity of autumn in Venice 🍁 The sounds of water are a symphony to the soul, filling every corner of this enchanting city with tranquility. In this painting, as figures glide along the canal, their hearts are at peace, feeling loved by the world itself.",2023-09-14T17:59:26+0000,5,0,0
124319427612935_802148045247569,"As Rosh Hashana approaches, we're diving into the symbolism of pomegranates! 🤗✨ May your merits multiply like the seeds of this sweet fruit. 🎨 

Explore our 'Sweet Year' Mini piece, featuring art that captures the spirit of the holiday. Enjoy 10% off this week! 🍎🍯🎉",2023-09-06T19:02:44+0000,8,0,0
124319427612935_797324912396549,"Embrace the serenity of the shore on National Beach Day 🏖️🎨 

Our 'Child on Beach' 3D glass painting captures the essence of slowing down, sharing moments with friends (or teddy bears!), and soaking in the sky and sea. 

Art available on jeanpierreweill.com",2023-08-30T15:14:28+0000,9,1,1
124319427612935_783335337128840,"Evolve 📖 

Evolve is Jean-Pierre Weill’s second book. It is an illustrated narrative from the book of Genesis told through 100 paintings about what it means to be personally free. These illustrations are just some of the beautifully painted pages you can find in the book! 

Available now on jeanpierreweill.com with 30% OFF. 🛒",2023-08-09T16:21:25+0000,16,3,0
124319427612935_778854630910244,"In  the  quiet   stillness  of  dawn,  five cranes  raise  their   heads  in dance.  These elegant  creatures,  said  to  live  for  a  thousand years,  are  symbols  of  happiness,  eternal  youth,  and  good  fortune.  Their  joy  in  simply being  alive  is  apparent in  their  graceful  movement   through  beams  of  color  and  sunlight. 💫",2023-08-02T23:01:39+0000,6,0,1
124319427612935_774769364652104,"- Jerusalem Prayer -

This colorful and fantastical depiction of Jerusalem touches on the simple sacredness of prayer. Letters float in the air around the Heavenly Temple we build through acts of kindness. 

According to Jewish tradition, when Jacob dreamed of a ladder that stretched up to the Heavens, he was sleeping on the site of the future Holy Temple. 

This painting serves as a reminder of the power within each of us to connect. 

Today we want to commemorate Tisha b'Av, a solemn Jewish day of mourning and fasting that commemorates the destruction of the First and Second Temples in Jerusalem.",2023-07-27T14:30:10+0000,30,2,2
124319427612935_765257868936587,"Limitless -

Looking to the horizon,  propelled forward by cycling and favorable winds the sense of camaraderie is tangible. These two are off on great adventures! 🚲

Visit our website jeanpierreweill.com 🛒",2023-07-12T18:53:25+0000,7,1,1
124319427612935_761163769345997,"Amidst the warmth of summer, we raise our glasses to celebrate life's exquisite moments. 🍷🤩

Two glasses of burgundy wine stand ready for the toast of some joyous occasion. Dark red grapes and blue skies through the window suggest a rich summer moment. L’chaim! To life! 🥂",2023-07-06T18:38:15+0000,11,1,0
124319427612935_756153986513642,"Sun, water and sand. Build a castle! Build a moat! With beloved companions near, on a day such as this we have all the time in the world. ☀️⛱️🎨

Visit our website: jeanpierreweill.com",2023-06-29T20:26:58+0000,14,3,0
124319427612935_751811756947865,"We have some exciting news! 🎨

It's 30 OFF% on our entire Petite Collection, but make it 4X LARGER! 🤩

How does it work?
Browse our Petite Collection.
Note the title of your absolutely favorite painting.
Go to the 4X larger page and type in the name of the painitng. Your 30% OFF will be automatically applied.
Check out and we'll send it your way!

Do not hesitate to contact us if you may have any questions. We are here to help you!",2023-06-23T14:15:48+0000,8,0,1
124319427612935_748570547271986,"🌟 Happy Father's Day to the creative and loving patriarch of our family art studio! 🎨🖌️ 

The project you started and which we joined has taught us invaluable life lessons. It has taught us the importance of perseverance, of embracing our mistakes as stepping stones toward growth, and of cherishing the beauty of relationship in every fleeting moment.

Thank you for being an incredible dad!

#fathersday",2023-06-18T15:11:33+0000,29,0,0
124319427612935_740439088085132,"Embrace the vibrant colors of summer with this masterpiece! 🎨

In this captivating glass painting, Pablo Picasso's iconic characters come to life, filling the bustling café scene with their unique personalities. As your gaze explores the artwork, you'll discover Picasso's self-portrait, tucked away in a quiet corner, observing the lively ambiance. 

Let the warm hues and lively strokes transport you to a sun-kissed summer day, where art and joy intertwine. 🌼✨",2023-06-07T20:05:24+0000,54,7,1
124319427612935_735539661908408,Bringing a touch of London's enchantment to your summer dreams. Step into the nostalgic carousel of vibrant colors and joyful memories. 🎠✨,2023-05-31T20:49:24+0000,44,15,7
124319427612935_730366375759070,"Wishing you all a meaningful and inspiring Shavuot filled with love, joy, and the blossoming of new beginnings! 🌸",2023-05-24T16:14:16+0000,18,1,1
124319427612935_719452346850473,"A word about motherhood, from Davida…

Through my own motherhood journey, I've gotten a new perspective on the dedication and creativity that my own mother invested in me.

 Our relationships with our children and our relationships with our mothers, like every relationship, are a process. 

The gestures of love we give and receive - a hug, a moment of sharing, a gift - help us remember how central these connections are. 

In honor of mothers everywhere…

All orders will be AUTOMATICALLY updated to EXPEDITED shipping for FREE, until Mother's Day.",2023-05-09T18:10:47+0000,3,1,0
124319427612935_715935087202199,"We believe that our relationship with you is vital to our creative process. That's why we value staying in touch with you and keeping you updated through our bi-monthly newsletter. 💻📲

As a gesture of our gratitude for joining our studio family, we want to offer you a special 10% discount on our products. Look out for it in your inbox now! ✨",2023-05-04T19:21:23+0000,5,0,0
124319427612935_711141227681585,"Add color to the space you work in. 🎨 

When our space is beautiful, we are more inclined to take care of it. We are more creative, more able to learn, and more connected to our sense of wellbeing. ✨

Buy 3 Mini 3D paintings on glass and get the 4th FREE with discount code SMILE. This weekend only, using the discount code: SMILE

Starts on Friday, April 28 at 9:00 am EST, until Monday, May 1, 2023. 🗓️

Visit our website and find beautiful art pieces: jeanpierreweill.com 🛒",2023-04-28T13:28:32+0000,5,0,0
124319427612935_705566218239086,"Thursday on the studio - where every stroke of the brush is a step towards bringing art to life. Join us in our creative space and immerse yourself in the beauty of glass paintings. ✨🎨

We love having people come just to enjoy and experience the art but we also have special offers for studio visitors. 🙋🏻‍♂️🙋🏻‍♀️

You'll be greeted with coffee, and there are beautiful hikes in the area if you're interested in making a full day out of it! ☕️",2023-04-20T23:59:54+0000,17,1,0
124319427612935_698930795569295,"The Kotel represents the shared history and future that bind us together as a people, no matter how different we are as individuals. 

The three-dimensionality of this painting capitalizes on the perspective of the wall moving into the distance as the words “Hear O Israel” dance in the heavens, a testament to the Oneness that is the source of everything. 

Remembering the Temple is a theme that is interwoven through Jewish ritual life. This art piece could serve as a reminder of our connectedness, and prioritizing the things that are most important as we go about our day-to-day lives.

Shipping is free wherever you are. 🌎",2023-04-11T15:27:54+0000,22,5,0
124319427612935_694781875984187,"Pablo Picasso, inspiring personal growth.40 years ago, on April 8, Picasso passed away. In Judaism, the anniversary of someone’s death is an opportunity to celebrate their life. 

This weekend get $1,500 off two paintings inspired by the greatest artists of the 20th century, using discount code: Picasso. 

 “Everything”, he said, “Everything you can imagine is real”. May we have the courage to see the real opportunities born in our imagination. 

Visit our website: jeanpierreweill.com 🛒",2023-04-05T16:40:02+0000,14,0,1
124319427612935_689265189869189,"Spring has sprung in our art studio, and our glass paintings are blooming with color 🌷🎨",2023-03-28T16:17:15+0000,72,10,2
124319427612935_683789643750077,"Move things around to get a fresh perspective. The days are getting longer and sunnier. The desert landscape around us is green from the winter rains. 🌳

This week, just for you! Get 20$ off our entire Petite Collection with the discount code SPRING23.

Let your spring cleaning (slash pesach prep) inspire you to refresh your home and office with new artwork. 🌻

And remember, shipping is free wherever you are! 

#jeanpierreweill #glasspainting #artwork #artfamily #artstudio",2023-03-21T20:13:53+0000,10,0,0
124319427612935_669053885223653,"Introducing our latest creation from the studio! This vibrant art piece is part of our Mini Collection! 🎨

Say hello to Jaffa, the city of sun and water that  holds the charm of the ancient and the vibrancy of the modern. ⛵️

May the wash of the sea and the beauty of antiquity bring peace to your heart. ✨

Shipping is free wherever you are! 🌎

#jeanpierreweill #glasspainting #artwork #artfamily #artstudio",2023-03-02T16:34:21+0000,48,5,1
124319427612935_667254458736929,"We can imagine that since the creation of the Café, the coffee shop is a place where lovers meet and friendships grow ☺️.

An invitation to a friend for some coffee, is a way of inviting them to build a deeper connection ☕️.

“Cafe D’artistes”  is inspired by Vincent Van Gogh’s Cafe Terrace at Night 🌙. 

Remember that shipping is free wherever you are! 

#jeanpierreweill #glasspainting #artwork #artfamily #artstudio",2023-02-28T19:06:13+0000,28,8,4
124319427612935_655393429923032,"Happy Valentine's Day to all our followers! May love, color and happiness be with you day after day. 💕 
 
#jeanpierreweill #glasspainting #artwork #artfamily #artstudio #valentinesday",2023-02-14T18:15:28+0000,16,1,3
124319427612935_651031650359210,"Whose presence makes your heart flutter? Who makes you feel warm in your heart? Who holds the safety of love for you? 💕 

This February is a wonderful time to remind them how you feel. Use discount code Love20 and when you buy 2 art pieces, you get 20% OFF everything. 🎁 

Visit our website: jeanpierreweill.com 

Shipping is free wherever you are! 🗺️ 

#jeanpierreweill #glasspainting #artwork #artstudio #artfamily",2023-02-09T20:16:59+0000,15,1,0
124319427612935_643153021147073,"Just one of many pieces on sale for Valentine's Day, this is ""Beginnings"". 💕 

A walk outdoors is an opportunity to remember how precious life is, how dynamic, how full of possibilities. It is the perfect time to fall in love.

Make the most of this occasion to thank someone you love for walking with you 🎁 

Use our discount code Love20 and buy any two 3d paintings on glass and get 20% off your entire purchase.

Shipping is free to wherever you are! Visit our website to find art perfect for you. 🛒 

#jeanpierreweill #glasspainting #artfamily #artstudio #artwork",2023-01-31T19:40:44+0000,10,2,0
124319427612935_638875328241509,"In the studio here we’re already preparing all your gifts for Valentine's Day! Have you already ordered your present yet? 🎨

Visit our website and find the best one for your loved one.

Shipping is free anywhere in the world. 🛒🌎

#jeanpierreweill #glasspainting #artwork #artstudio #artfamily",2023-01-26T23:39:13+0000,27,2,1
124319427612935_633498598779182,"Because relationships matter, knowing how to show love for others and care for yourself is an art of its own. This Valentine’s Day, give yourself and your loved one the gift of art. 🎨 

Use discount code Love20 for 20% off when you buy two of our art pieces. 💕 

Visit our website and find that special gift. Link is in our bio. 🛒 

#jeanpierreweill #glasspainting #artwork #artfamily #artstudio",2023-01-20T15:28:40+0000,5,0,0
124319427612935_631850245610684,"Juno joins us in the studio when it's too rainy to be outdoors. She brings a cheerful, tail-wagging hominess to the studio on wintry days ⛈️

#jeanpierreweill #artwork #artstudio #artfamily",2023-01-18T15:52:52+0000,33,5,0
124319427612935_630969385698770,"It's looking to be a beautiful year, and we're revelling in art and color with new surprises on the way! 🎨 

Can you guess the name of this coming-soon painting? 👀 

#jeanpierreweill #glasspainting #artwork #artstudio #artfamily",2023-01-17T21:14:47+0000,10,0,0
124319427612935_625664619562580,"Art and music moves our hearts.
 
Undoubtedly, both art and music are constantly present in our lives. For that reason, we have created unique pieces for those music lovers, representing the passion they feel with the different notes, rhythms and sounds. 
 
Visit our website!
 
#jeanpierreweill #glasspainting #artwork #artstudio #artfamily",2023-01-11T20:33:01+0000,12,0,0
124319427612935_615810117214697,"The Jean Pierre Weill Studios team wishes you a Happy New Year! ✨ 

#jeanpierreweill #artfamily #artwork #artstudio #glasspainting",2022-12-30T16:38:59+0000,19,2,0
124319427612935_608863541242688,"Thank you for supporting our art studio. We hope that during this time, you can be surrounded by the ones you love the most. 

Happy Holidays. ✨ 

- Jean Pierre Weill Studio. 🎨 

#jeanpierreweill #glasspainting #artstudio #artwork #artfamily",2022-12-22T22:25:22+0000,24,4,0
124319427612935_606852768110432,"We have a surprise for you! 🎁 
 
We know how important it is for you to show your loved ones how much you love them. For that reason, we have decided to discount our Petite and Classique Collection with 15% off. 🎄 
 
Visit our website now and find the best gift.
 
Only between December 22nd and 26th.
 
Link in our Bio! 🛒 
 
#jeanpierreweill #glasspainting #artwork #artfamily #artstudio",2022-12-20T19:05:48+0000,2,0,0
124319427612935_602643068531402,"This is the time of year in which we celebrate light. Light is a symbol of hope and clarity. 
 
Our inner light intensifies when we acknowledge and honor it. ✨ 
 
Honor the loved ones in your life this holiday season by giving them art. For this reason, our Classique Collection is 35% OFF using the code LIGHT35, only this weekend.
 
Shipping is free wherever you are, visit our website: jeanpierreweill.com 🛒 
 
Happy Holidays! 🎄 
 
#jeanpierreweill #glasspainting #artwork #artfamily #artstudio",2022-12-16T15:13:48+0000,6,0,0
124319427612935_592549299540779,"Creative minds are at work here!
 
Our studio is where we get to be creative and have fun while working together. It's our safe space where ideas flow and we can do what we love most—create!
 
#jeanpierreweill #glasspainting #artwork #artstudio #artfamily",2022-12-06T17:10:27+0000,47,0,1
124319427612935_588123049983404,"Colorful and vibrant, our paintings are full of insight and emotion. 🖌️ 

Follow us to watch the process and see each brushstroke turn into a masterpiece. ✨

#jeanpierreweill #glasspainting #artwork #artstudio #artfamily",2022-12-01T16:40:00+0000,34,1,3
124319427612935_581316373997405,"The holidays are on their way and we know it's important for you to show your loved ones how much you love them. ❤️ 

That's why our discounts are available NOW, so the gifts you choose for your loved ones will arrive just in time. 🎄  Give the gift of art and shop now on https://jeanpierreweill.com/ 🎨 

#jeanpierreweill #artstudio #artfamily #artwork #blackfriday #blacknovember",2022-11-23T20:07:38+0000,0,0,1
124319427612935_580274997434876,"In our family art studio, we're grateful for you, who support us and help us do what we love. This Thanksgiving, we invite you to express gratitude for something in your own family. Consider, not only what you are grateful for, but why. From all of us here at the family art studio, Happy Thanksgiving! ❤️🎨

#jeanpierreweill #glasspainting #artstudio #artfamily #artwork",2022-11-22T15:49:01+0000,32,6,1
124319427612935_568413998620976,"As a multigenerational family studio, we understand the needs of our customers. This year, we specifically started the Black Friday sales earlier so that you have time to shop and receive everything without worrying about shipping delays. 🎄 🛒 

Shop on our website (jeanpierreweill.com! 🛒 

#jeanpierreweill #glasspainting #artwork #artfamily #artstudio #blacknovember #blacksale",2022-11-09T18:22:37+0000,4,1,1
124319427612935_561856545943388,"Two important things are coming up - Black Friday and holiday shopping! We're starting our BIGGEST sale of the year NOW so that you have time to shop and receive everything without worrying about shipping delays during this busy time. 🛒

Black November Sale:

Gallery Editions: 40% off
Classique Collection: $100 off
Petite Collection: 25% off
Mini Collection: 10% off

#jeanpierreweill #glasspainting #blacknovember #discounts #artwork #artstudio #artfamily",2022-11-02T14:33:21+0000,1,0,0
124319427612935_553219916807051,"The colors of autumn inspire us. The leaves swirling in the breeze, the changing light. There is something about this time of year that feels fresh for new beginnings. A time to reflect on the past year and set intentions for the next one.

Art has a way of helping us see things in a new light, of giving us a fresh perspective. Take some time to create something new. 

At this time of the year, our creativity is at its peak, with all the scents, colors and textures. Does this also happen to you?

#jeanpierreweill #autumn #creativity #glasspainting #artfamily #artstudio",2022-10-24T15:12:12+0000,9,3,10
124319427612935_541910331271343,"Hello to all the new faces! Allow us to reintroduce ourselves:

Our studio originally was founded in 1992 when our father Jean-Pierre was looking for a way to both create art and support our growing family.  He discovered that he could create 3D paintings by arranging different parts of an image on multiple levels of glass. 🎨 

About 10 years ago, the studio moved to Israel, where us daughters, Davida and Safira, 🖐️ joined, bringing new ideas and helping with the day to day operations. 

As a family studio, our relationships with each other is key to the feeling and energy that go into our work. You are part of our extended studio family. Thank you for following along!

#jeanpierreweill #glasspainting #artstudio #artfamily #artwork",2022-10-12T15:36:09+0000,113,11,4
124319427612935_537043605091349,"The Holiday Sukkot is coming right up! 

Our top pick as a gift for your host is “Fiddler on the Roof”

Check out our story and highlight for links and more!",2022-10-07T17:53:17+0000,23,2,1
124319427612935_475498361245874,"Pssst.... We have so many cool events happening this summer at the studio! DM us to join or learn more. 👀 

#jeanpierreweillart #glasspainting #artwork #artstudio",2022-07-27T13:38:42+0000,22,2,2
124319427612935_474955884633455,"For those music lovers and fans of Jerry Garcia, this painting is the perfect gift 🎁.

Jerry was the leader of the Grateful Dead. His love of improvisation flowed from his love of spontaneity 🫂. 

May we all be blessed with the ability to make music, whatever our music may be 🎼. 

#glasspainting #jeanpierreweill #artwork #artstudio #jerrygarcia",2022-07-26T17:59:31+0000,17,1,2
124319427612935_469611305167913,"A combination of hand-painting and print brings our paintings to life. There are three dimensions to each piece of artwork that create a play of light and shadow. But... it all starts with this. 🎨

#jeanpierreweill #glasspainting #artwork #artstudio",2022-07-19T14:11:36+0000,12,0,0
124319427612935_465324708929906,"We had an awesome workshop at our studio where we took things like wood, bark and acorns to create little people 🪵. 

Slide to see what the JPW employees came up with 👉🏻.

From time to time, we love taking a break from painting to do something else that’s creative and help the work flow 💃🏼.

Check out our story for more details 🤗.",2022-07-13T22:49:47+0000,58,5,2
124319427612935_457432639719113,"✨FLASH SALE ✨

There’s nothing quite like spending time with loved ones on the beach on a hot summer day! ☀️ 🌊 

The Summer Friends painting is the perfect piece of art to remember these good times. ☺️

Take 25% OFF the Classique sized Summer Friends painting with coupon code july4th. 🏷  Shop: https://bit.ly/3yE0AuP

Offer ends tomorrow at midnight. Happy Independence Day! 🇺🇸",2022-07-03T15:08:45+0000,7,1,0
124319427612935_5558590147519142,"This is Ron, Ron is an old customer of ours who purchased his very own Beatles painting 🎸. Despite the few years that have gone by, we are still in touch with Ron and are available for any of his needs ☎️. 

The relationship with our customers is our🔝priority. Satisfaction guaranteed no matter if ten years pass or two 🙏🏼. 

We’re here for you if you have any questions or concerns 🙋🏻. Our close relationship with our customers is very meaningful to our studio 💗✨.",2022-06-29T20:21:51+0000,84,24,1
124319427612935_5552306904814133,"A dove holding an olive branch tightly in its beak flutters here in 3 dimensions 🕊.

Text from the Biblical story of Noah fills the body of the white bird and transforms this painting into a promise for a better future ✨.

📸: @caitlynnwestt 

#noah #dove #biblicalart #olivebranch #promise #future #3dart",2022-06-27T16:48:19+0000,24,0,20
124319427612935_5512068005504690,,2022-06-13T17:26:38+0000,20,0,0
