message,created_time,id,likes.data,likes.paging.cursors.before,likes.paging.cursors.after,likes.summary.total_count,likes.summary.can_like,likes.summary.has_liked,comments.data,comments.summary.order,comments.summary.total_count,comments.summary.can_comment,likes.paging.next,comments.paging.cursors.before,comments.paging.cursors.after,shares.count
"For Adar >>> When you purchase artwork from our family studio this month, we will gift a 3D painting on glass to a family who has been evacuated from their home for free. 💝 

How does it work?
1. You purchase the artwork you love.
2. At checkout, write us a note that says: TRANSFORM. 
3. If you wish, add some words for the family who will receive our gift.
4. We will send you the work you purchased. We will also send a 3D painting on glass to a family who has been evacuated from their home. 

Let’s channel this months energy and transform lives together. ⚡️💗

Get started on www.jeanpierreweill.com",2024-03-21T20:55:19+0000,124319427612935_941451157983923,[],QVFIUjlRWUlMNEpMaFBwVEY1RXc4dVdGTnFHZATFwdjh3dUFvM0JmY2JyYlBSN0RRTXlDYkl4WUJveU8yNl9QS3EzUzNYTEVSSFZAOc0p6X0JqNmNIMGI2X0Nn,QVFIUkFrcUZAOWHNoZA3N0cGhTQm9hUHRaQV93MDhnVjQ2aUtyeE92bW83VzhlR0luMWw3eHhXOW82X2N4cFhkTXFQdDVDNEhhNjEtMEs0NXBEU2xwZATh0WVZA3,3,True,False,[],chronological,0,True,,,,1.0
"Visiting Jerusalem? Come experience the magic of art at our studio! ✨ 

Whether you’re an art enthusiast or just curious, we welcome you to immerse yourself in the world of color and paintings. 

Drop us a DM to arrange your visit! 🎨",2024-03-19T18:16:21+0000,124319427612935_939720294823676,[],QVFIUkRYZA2ljWl85Q0NGcTgydVBtYVZA0SUdURXNvalFDZAWpMcWQ3bVVyejV1MjM3Q3Y3LTIzUFFzbkdkZAWsyWnFFb3MZD,QVFIUmgxbThKMU81ZAi1PRGF0ZATVNOGk4MklCX0pLRnpkRnIwZA3R0UmdPZADk2eGZARVXJlaXdCdUhIWUVaa3A2Nm5kWVMZD,60,True,False,"[{'created_time': '2024-05-02T15:50:55+0000', 'message': 'Amazing work. Beautiful', 'id': '939720294823676_1130206308229120'}, {'created_time': '2024-03-25T19:27:54+0000', 'message': 'My purchase came very promptly to the USA.', 'id': '939720294823676_2472967889562656'}, {'created_time': '2024-03-20T05:11:37+0000', 'message': 'Love to visit -  thank you', 'id': '939720294823676_1364252468306299'}, {'created_time': '2024-03-19T18:53:59+0000', 'message': 'Where can your art be purchased in the US?', 'id': '939720294823676_1371349286896856'}, {'created_time': '2024-03-19T23:53:25+0000', 'message': 'U R so talented!', 'id': '939720294823676_2061604910887955'}, {'created_time': '2024-03-20T16:01:09+0000', 'message': '❤️', 'id': '939720294823676_1161581031678862'}]",ranked,6,True,https://graph.facebook.com/v21.0/124319427612935_939720294823676/likes?access_token=EAAFwrJWP4CIBOzFp2qlM0f2YADANbOCBPbEWxDlfxs9ZA85E1L8faNh5LcZCzxPExrkkukbq41ZBx67qXSrolIAbphbwCqgJfmuXDADit7UIhZCqxDdQhciw9dflZBuFBscZA8Rb85uBfULaZAsMibXFSzDFqyTLDsEoJ7zUM8yzGVat0QtiEMbYjfi4dXfb8gTo9ipL3NZC0glGS6gZD&summary=true&limit=25&after=QVFIUmgxbThKMU81ZAi1PRGF0ZATVNOGk4MklCX0pLRnpkRnIwZA3R0UmdPZADk2eGZARVXJlaXdCdUhIWUVaa3A2Nm5kWVMZD,NgZDZD,MQZDZD,13.0
"Last chance! 🚨 Don’t miss out on owning the piece ‘Where’s Pablo’ by Jean Pierre Weill. We’re down to our last 3 pieces and once they’re gone, they’re gone for good!

But fret not, we’re excited to introduce ‘Cafe Picasso’, the stunning successor to ‘Where’s Pablo’.

To celebrate the end of this edition, we’re offering an exclusive 50% off on ‘Where’s Pablo’ for our beloved SM followers! 🌟 This is your opportunity to bring home a masterpiece at an incredible price.

Hurry, grab your piece of art history before it’s too late! DM us to claim yours today. 🖼️✨",2024-03-14T16:44:56+0000,124319427612935_936091225186583,[],QVFIUmNGRDl3UFVHVldmUEVrTnlwVEE2RUhQQjFuT0hUY0ZAmSS1OajhBMDVwWXJ2YUVWelZAIb3RHd1oyQ3RjdmdHNXEZD,QVFIUnVPTV9LRVJjU1FKU205UUtodUlFYThtbE1GRTVvdWhaTkFmaXZAPLWRjRzZAtNnFraU1tTXFZAbU9zcTJCdjFlaHMZD,13,True,False,[],chronological,0,True,,,,4.0
"Step into the sacred space of community with ‘10th Man’ 🎨✨ Feel the power of unity as you become the missing piece in this captivating 3D painting by Jean Pierre Weill. Let your presence bring forth the divine, and immerse yourself in the beauty of collective prayer.",2024-03-07T21:57:58+0000,124319427612935_931414785654227,[],QVFIUmotdWlpdkNwS1FfVjctQnAxM0JsUEpOM0ZAyUDU3TzhCc3BNcGE5S0oxOGFKc0VPZAnEwMkl4NDMwdjI5TDdROXlHbkV1NXN1clgxNUM1VnpNcTdxb2Jn,QVFIUnUxcjBVdENRX0RYNzJOb0dWajZA1RGRwZAWtPQ2lZAMm4yVWI0Si1YTXBhT21BSUpZAbE5ldktNcVFSTjFwc3hrR1Q4OXBQb0NkNnhFOERNUUJIWlZAGd0RB,44,True,False,"[{'created_time': '2024-03-10T22:07:37+0000', 'message': 'good to see new material', 'id': '931414785654227_381831721474760'}]",ranked,2,True,https://graph.facebook.com/v21.0/124319427612935_931414785654227/likes?access_token=EAAFwrJWP4CIBOzFp2qlM0f2YADANbOCBPbEWxDlfxs9ZA85E1L8faNh5LcZCzxPExrkkukbq41ZBx67qXSrolIAbphbwCqgJfmuXDADit7UIhZCqxDdQhciw9dflZBuFBscZA8Rb85uBfULaZAsMibXFSzDFqyTLDsEoJ7zUM8yzGVat0QtiEMbYjfi4dXfb8gTo9ipL3NZC0glGS6gZD&summary=true&limit=25&after=QVFIUnUxcjBVdENRX0RYNzJOb0dWajZA1RGRwZAWtPQ2lZAMm4yVWI0Si1YTXBhT21BSUpZAbE5ldktNcVFSTjFwc3hrR1Q4OXBQb0NkNnhFOERNUUJIWlZAGd0RB,MgZDZD,MgZDZD,5.0
"I have always loved music. In my studio, Miles Davis or John Coltrane are often playing in the background. The element of jazz that delights me most is the spontaneity, the way the musicians communicate with each other through their instruments, making space for one another, building an invisible and intricate web of connection.

I believe that when we choose a piece of artwork, it is because something beacons our eyes and hearts and, without thinking too much about it, we fall in love.

The beauty of improvisation, to me, is perfectly embodied by a street musician playing the music that comes to him and the passerby who is moved to spontaneous dance. This interaction captures the magic of responding to the present moment and the opportunities it offers with our hearts.

When my children were small and visiting my studio, we would sometimes crank up the volume, clear the tables to the side of the room, and dance. I continue this tradition with my grandchildren and it never fails to delight us all. My hope is that this painting brings that fun free energy into your home, and invites you to dance 🙂

- Jean Pierre Weill",2024-02-28T16:48:16+0000,124319427612935_925734112888961,[],QVFIUno4RnViSnNXR0pWRkNWOG9ZAdlB3RVRybERxWGlKNVNVVWdjWTdLV3h6cExFUUVKeDBLME54ZAGU5eEVvQW56VXI4dVk2ZAWduM3RrZAmphZAnVtS3pBLTR3,QVFIUlV4SWRjM2dSODVadGoxZAUpicFJ3c1ZAZAcEtTel9LT3BrWVRUQTVsa3NLa0I3dlpxQVNlWnotZAG1ZASlRKS0dqb2JBZAGExcU93NlVPQkktSWtHdWlDYkZAR,25,True,False,[],chronological,0,True,,,,5.0
"🎨✨ Exclusive Instagram offer alert! ✨🎨 

We’re eager to offer you a rare opportunity to own a piece from our collection that’s no longer in production. 😮 

‘Tambourine Man’ - a captivating masterpiece by Jean Pierre Weill is a stunning painting . It measures 122 x 94 cm and is truly one-of-a-kind.  Normally priced at $22,000, we’re offering it exclusively on Instagram for just $8,000! 😱 

Don’t miss out on this incredible deal - it’s our last piece available! DM us now to claim this piece for your collection. 📩",2024-02-21T19:17:25+0000,124319427612935_921040143358358,[],QVFIUkNpVWZArdkRKUHVkdkpQY21LSUxBOE8xTnpKM0RMZAkRtZAHRDOVdHX2VyYXh1QzVOazQ0TUstV21qc3pQNnd2X1EZD,QVFIUlB4R1JFN2toRjhKX3Y5bDF2M0pRampHSnp1dW9RalRwVFRiTkZArZAHJOSWdGZAmM4TFFnLUxjMU52ZAl9PRG4zbnBuQkpFVmx0UVFrUExXVE1hc0ZAxOEtR,50,True,False,"[{'created_time': '2024-02-22T15:53:06+0000', 'message': 'Simply beautiful.', 'id': '921040143358358_371361979018862'}, {'created_time': '2024-02-21T22:04:42+0000', 'message': '❤️', 'id': '921040143358358_356118440722829'}]",ranked,2,True,https://graph.facebook.com/v21.0/124319427612935_921040143358358/likes?access_token=EAAFwrJWP4CIBOzFp2qlM0f2YADANbOCBPbEWxDlfxs9ZA85E1L8faNh5LcZCzxPExrkkukbq41ZBx67qXSrolIAbphbwCqgJfmuXDADit7UIhZCqxDdQhciw9dflZBuFBscZA8Rb85uBfULaZAsMibXFSzDFqyTLDsEoJ7zUM8yzGVat0QtiEMbYjfi4dXfb8gTo9ipL3NZC0glGS6gZD&summary=true&limit=25&after=QVFIUlB4R1JFN2toRjhKX3Y5bDF2M0pRampHSnp1dW9RalRwVFRiTkZArZAHJOSWdGZAmM4TFFnLUxjMU52ZAl9PRG4zbnBuQkpFVmx0UVFrUExXVE1hc0ZAxOEtR,MgZDZD,MQZDZD,3.0
Look closely at our art and you’ll see love everywhere 💕  Happy Valentine’s day from our heart to yours!,2024-02-14T17:53:14+0000,124319427612935_916117487183957,[],QVFIUlFqM3dyZATdOTUJaSGpMVVEwbHUwbjktaGJnOGpFMUNBU0dIYzJYNU9xNXFKMnZAFZAWozWEpFTk84TGtFa1ZAwTGwZD,QVFIUjNoVkFXSU9HMEpDZADZAzWkNxbTVZAYnNKMVItVGQ2aXNJSnluNHFzblZAQTVJDMFZA4U09uRUl0TE1EOFRIbTFMYW5ORFdKTFFFal9jWTJLbGZApY2ZAmbjR3,34,True,False,"[{'created_time': '2024-02-15T02:58:48+0000', 'message': 'Oh please show the whole picture!  I Like what shows so far...', 'id': '916117487183957_915716579876246'}]",ranked,1,True,https://graph.facebook.com/v21.0/124319427612935_916117487183957/likes?access_token=EAAFwrJWP4CIBOzFp2qlM0f2YADANbOCBPbEWxDlfxs9ZA85E1L8faNh5LcZCzxPExrkkukbq41ZBx67qXSrolIAbphbwCqgJfmuXDADit7UIhZCqxDdQhciw9dflZBuFBscZA8Rb85uBfULaZAsMibXFSzDFqyTLDsEoJ7zUM8yzGVat0QtiEMbYjfi4dXfb8gTo9ipL3NZC0glGS6gZD&summary=true&limit=25&after=QVFIUjNoVkFXSU9HMEpDZADZAzWkNxbTVZAYnNKMVItVGQ2aXNJSnluNHFzblZAQTVJDMFZA4U09uRUl0TE1EOFRIbTFMYW5ORFdKTFFFal9jWTJLbGZApY2ZAmbjR3,MQZDZD,MQZDZD,
"Did you catch yesterday’s Q&A session on our stories? 🤔💬 Check out our Q&A highlight to see them all.

If you have more questions, run to our stories and ask them before the option is gone!",2024-01-31T17:14:00+0000,124319427612935_905729008222805,[],QVFIUld0TlZANa3pFZAE4wbkFLcXA0Q1hHTi04bHpOQ0FRRHRLUnR5RXU4Wi1yZAlJIM24zMVBrNE1Ya1Qwak03SndOMkNsSlljYXZAjTmVGeTJ2Y0szU0g0TzZA3,QVFIUldaYkxzeURlcmZArRUE3TjgyLUk3aGY0M25ITWpabWFLS0ZAYVGRQRTVuTlJMN1JTTmthS2d6MjBydkRzdmdGd0sZD,14,True,False,"[{'created_time': '2024-01-31T19:36:32+0000', 'message': 'You are all incredibly gifted. I wonder if your studio is available to visit.☺️', 'id': '905729008222805_3578260978986293'}, {'created_time': '2024-01-31T17:43:17+0000', 'message': 'Where can I find this', 'id': '905729008222805_743133244438611'}]",ranked,2,True,,MgZDZD,MQZDZD,
"This Valentine’s Day, gift your loved one the timeless beauty of art. Discover unique pieces at jeanpierreweill.com with worldwide shipping! 💕🎨✨",2024-01-24T18:11:42+0000,124319427612935_900225552106484,[],QVFIUlMxamZAkN3c0MUEyMU1qdEtsYXNZAU2xPZAmlybjIwdFJrZAjB1WEZApTnM1bmhSVXk1ek5zNk1nZA3BIcFJVWmMwV01nenp4Njg1VFUxbkxRR0cwVHZALWUN3,QVFIUlppSzFVQ3RtQ3NvZAnZA2d0lwY1ZAhRHJkRG51bHl0bVJ5XzlsQTNIUHpkWTVqMk9NVTVuNjlaWU0wLWdRcS1xUDIZD,13,True,False,[],chronological,0,True,,,,1.0
"Dive into the enchanting details of Cafe d’artistes, where magic resides in every sip of coffee, every shared dance step, and every whispered idea.

Inspired by Van Gogh’s starlit nights and the love-filled dance of Renoir’s Bougival. ✨☕💃",2024-01-17T18:21:54+0000,124319427612935_894826482646391,[],QVFIUjA3bDUyX1lyVmZASRUlsQ2cteHhmMXpCRDZArZAkhjX0x2bzRsRTlYQ0FQT1pBLS1CamxSQzF6OWhjSE42VTVzT0ZADZAUJkOHlCeW9RSXRCNWFfcjRtby1n,QVFIUlZApTG5IY3MwV29xQUZAGRTBRUzlVYWdKcmVkQk52ZAmJPaURKa0RQZAHRzTmpwTjdDU2YyVVIya200S2J3N01oQ0wZD,34,True,False,"[{'created_time': '2024-01-17T22:16:44+0000', 'message': 'Sooo gorgeous!! These really uplift me. Thank you for posting', 'id': '894826482646391_2788891221249094'}, {'created_time': '2024-01-17T20:44:44+0000', 'message': 'Beautiful!', 'id': '894826482646391_3696425280641346'}, {'created_time': '2024-01-17T21:25:40+0000', 'message': 'Amazing! Astonishing art work! Marvelous! Historical too!', 'id': '894826482646391_904283374618131'}]",ranked,3,True,https://graph.facebook.com/v21.0/124319427612935_894826482646391/likes?access_token=EAAFwrJWP4CIBOzFp2qlM0f2YADANbOCBPbEWxDlfxs9ZA85E1L8faNh5LcZCzxPExrkkukbq41ZBx67qXSrolIAbphbwCqgJfmuXDADit7UIhZCqxDdQhciw9dflZBuFBscZA8Rb85uBfULaZAsMibXFSzDFqyTLDsEoJ7zUM8yzGVat0QtiEMbYjfi4dXfb8gTo9ipL3NZC0glGS6gZD&summary=true&limit=25&after=QVFIUlZApTG5IY3MwV29xQUZAGRTBRUzlVYWdKcmVkQk52ZAmJPaURKa0RQZAHRzTmpwTjdDU2YyVVIya200S2J3N01oQ0wZD,MwZDZD,MQZDZD,3.0
